usernames,tweets,date_and_time,responders,tweet_replies,Responder_time_responder
thoony_thoon,"Janjinya nya jam 8 malemDateng nya jam 10 malemBayar nya ntar ya kalo gajianTau nya malah gajian bulan depanNgomong nya lagi otw Malah masih di rumah Kapan orang indonesia bisa tepat waktu ?PAS BUKA PUASA",4/29/19 6:10,FAJAR__GRIND,Sehat di dompet ,4/29/19 6:10
wak_iyoung,"Veteran pjuang kemerdekaan msh muda2 ya ?Emang indonesia merdeka thn berapa ?",4/29/19 5:28,okiestwn,Wouww,4/29/19 5:28
Dahnilanzar,"Sahabat sekalian sampai detik ini, partai koalisi adil makmur kompak terus berkoordinasi mematangkan semua langkah politik menuju perubahan Indonesia yg lebih baik.",4/29/19 3:33,Valent06924015,Madura paling pas utk ibukota letak ditengah sungguh pas,4/29/19 3:33
Dahnilanzar,"Mrk2 yg jd bahan2 lelucon adl Para Veteran dan Purnawirawan yg bergabung di PPIR, para eks TNI/Polri serta pejuang kemerdekaan yg telah mempertaruhkan nyawanya untuk Indonesia raya,hny krn mrk berbaris bersalaman dg menyebut Pak Prabowo Presiden kemudian menjd ejekan kalian.",4/29/19 3:27,ItemYopi,Apa ga sanggup bayar pajak sama kalengnya???? Kata nya adil dan makmur ???? Urusin pajak motor sendiri aza ga bisa apalagi ngurus orang lain.. Urus dulu diri sendiri baru ngomong ke org lain !!!,4/29/19 3:27
DaulatDalimunte,Mungkin hanya perintah dari SBY yang dapat menghentikan semua pencurangan pilpres 2019 yg sdh dan sedang terjadi di seluruh indonesia,4/29/19 1:43,sundari_eri,Amiin mbak..,4/29/19 1:43
prof_fakta,"Di Indonesia, sebutan Buaya itu untuk Playboy. Di Rusia, 'krokodil' (buaya), adalah sebutan untuk orang jelek.",4/29/19 0:10,jonahmunda,,4/29/19 0:10
InfoHumasBMKG,"Hallo SobatBMKG, mimin mau kasih info kalau cuaca ekstrem masih berpotensi terjadi beberapa hari kedepan di beberapa kota di Indonesia, tetap waspada dan selalu berdoa yaa.. :).sekarang mimin mau cek ombak, gimana kondisi cuaca di kota kalian berada?",4/28/19 23:24,Rusli20_,"berawan dari kemaren. kemaren sempet hujan semaleman. paginya gerimis. sore ini gerimis lagi.sidoarjo, jawa timur",4/28/19 23:24
hmskaban,Menyambut kemenangan PS08 Prabowo Sandi dgn memakmurkan masjid di kediaman PS08 di Hambalang mensyukuri kemenangan menyongsong ramadhan mubarak wa rahmah utk Indonesia Adil Makmur.,4/28/19 20:23,aliralira,Yess berkat hubungan politik & sejarah dgn Portugis,4/28/19 20:23
summa_isme,"Sebenernya pilpres ini sudah usai dan terang benderang Prabowo Sandi pemenanngnya. Tapi kita rakyat Indonesia, bangsa dan negara Indonesia saat ini sedang dipermainkan oleh para bandit demokrasi perampok suara rakyat terus berupaya agar mereka bisa berkuasa lagi dg cara apapun.",4/28/19 18:50,IniBambangputra,Apalagi paginya langsung presentasi,4/28/19 18:50
xline_id,"Di Aceh Ada cut yak Dien Teuku Umar Panglima Polim Di Minang Ada tuanku imam BonjolAda tuanku nanrenceh ,Dan penjajah Londo menyebut mrk radikal ...Mrk semua berjuang gugur demi negara IndonesiaTanpa mrk negeri ini TDK akan merdeka Garis keras MATAMU...!!!",4/28/19 8:32,jayabaraya,Garis keras matamu @mohmahfudmd,4/28/19 8:32
FandhuW89,"KRI Menangkap Kapal Nelayan Vietnam Tapi Ternyata ada 2 Kapal KKP Vietnam Yang Membantu dan Satu Kapal KKP Vietnam dengan Sengaja Menabrak Kapal KRI Indonesia_Tapi Kapal Nelayan Tersebut Tetap Berhasil ditangkap dan DiTarik Termasuk Semua Kru Awak Kapal Nelayannya""",4/28/19 7:27,AgusKodri,Allohuakbar..,4/28/19 7:27
mmbarsinali,"Saya orang Sunda anak seorang pejuang Islam, tdk rela dan muak dengar ocehan Prof Nol Koma, yg provokatif dan memecah belah. Islam & Indonesia itu satu kesatuan yg bersinergi.Tdk perlu titel Profesor untuk membuktikan bhw Islam itu Rahmatan Lil Alamiin. Apa sih maunya anda itu?",4/28/19 4:57,FandhuW89,"Kejadiannya Kemaren Sore DiPerairan NATUNA UTARA""Tapi diVietnam Justru Dibilang Bahwa Kapal Perang Indonesia Yg Melanggar Batas Wilayah Laut Vietnam dan Sengaja Menangkap Kapal Pemancing Vietnam'2 Kapal KKP Vietnam Tersebut Yaitu dengan Nomor KN-213 dan KN-264_",4/28/19 4:57
Siamiiiiih_,Melek teros ,12/27/19 12:04,shsiikaa,Dasar kita,12/27/19 12:06
dapaaah,"pen balik ke jaman tpa di mana dosa2 dunia cuman tau dari ustadzah doang, bukan melihat dengan mata kepala sendiri dan tergoda",12/29/19 15:58,dapaaah,DULU NGIYAIN USTADZAH GAMPANG BGT SEKARANG PAS BERHADAPAN BENERAN SUSAH BGT AJG,12/29/19 15:58
arandfird,"Udah cukup kebodohan gue kemaren, bela-belain balik kehujanan gegara batal janjian ama orang. Alhasil kemaren meriang ga karuan. Fokus karir aja ri!",12/25/19 15:40,abugosokh,Segitunya?. Siapa sih orangnya... gak tau diri banget.. kasih tau!,12/20/19 17:27
Fajartriantoro,Emang ga dijual. Kan free transfer karna kontraknya udah abis~,12/21/19 15:46,IsodorusW,Tpi bakalan nambah makanan di warung pak lejar. Otomatis ada kesepakatan...,12/21/19 15:52
poeticpicture,Syaratnya tetap harus air putih banyak dan tidur tepat waktu. menjadi sehat memang pilihan...pasti ada waktu jika ada kemauan.,12/13/19 15:26,WinEddwin,mang jam tidur yg benar jam brp ka?,12/10/19 17:40
Haidar_Bagir,"Iman itu soal (penge) tahu(an) diri, akan keterbatasan kita sbg manusia. Ttg adanya terlalu banyak hal - di alam empiris & selainnya - yg mmg berada di luar kemampuan-mengertinya. Puncaknya, pengakuan akan ada - tepatnya, Ada - yg misterius. ""Siapa tahu dirinya, tahu TuhanNya""",12/11/19 15:58,Haidar_Bagir,"Spt juga hewan, atau makhluk2 yg lbh rendah darinya, makhluk manusia mmg terancang-bangun dlm keadaan punya keterbatasan, myopi, dlm daya mengetahuinya Mgkn juga spt janin yg tak tahu bhw di luar janin ada kehidupan lain yg jauh lbh kompleks dari yg dialaminya saat dlm janin tsb",12/8/19 16:43
edimaha233,"Silahkan perhatikan, yg teriak radikal radikul pasti ga akan komentar soal ini, padahal bisnis impor ini lebih dahsyat dari ledakan 1jt bom panci, lalu kita menuduh anak paud & TK bibit radikal&terorisme ,percayalah apa yg kalian perbuat hari ini akan ada pertanggungjawabannya",12/9/19 15:33,visav710,"https://nasional.okezone.com/read/2017/03/31/337/1655725/anak-tk-sampai-sma-jadi-target-bandar-narkoba â€_ Ini jauh lebih berbahaya dan lebih darurat, secara kasat mata jelas2 ngerugiin anak bangsa & negara.",12/9/19 18:32
maksphadi,Saya sampe skrg jg gak percwya si jae yg menang. Emg rakyat indonesia bego apa..,12/7/19 15:07,Valdi26241825,Haluu terus lo kntoll,12/10/19 7:18
musniumar,"Sy sdh bc dan dengar di Youtube pernyataan Rocky Gerung ttg Presiden Jokowi, sy memastikan tidak unsur penghinaan. Jngn drng polisi utk menangkap RG krn kebencian. Negara kita negara demokrasi. Setiap warga negara bebas mengemukakan pendapat sesuai psl 28 UUD 45 dan UU turunannya",12/5/19 15:31,AgungPry4,Yg melaporkan ke polisi karena kalah debat. Politisi PENJILAT CARI MUKA.Debat lawan debat dan di forum tsb.Mentang2 punya aparat main Lapor.,12/5/19 16:00
JalurCikarang,"GAPEKA 2019 di hari 1 Horor Banged....Di pagi hari sudah penuh dan Ngaretnya Minta ampun , banyak yg teriak2 karena ga ke angkut.....cimin sedih....",12/1/19 15:52,loserkids_87,"kereta 05.48 berangkat 05.56, mantaapppp....kirain tadinya mau berangkat nungguin KA Lokal yang jam 06.00 sekalian",11/27/19 3:58
Brave4Seungjin,"""Chase me"" Hwang Hyunjin x Kim Seungmin. Vampire!AU.  Vamp!Seungmin. Human!Hyunjin",12/31/19 15:27,Brave4Seungjin,"Sky Kim, Bangsawan vampire yang menjadi idola di universitas, Dan Hwang Hyunjin sang ketua senat. Dipertemukan dalam salah satu event tahunan kampus.",12/28/19 16:01
grassjelli,"yg bikin bingung, knp stlh konversi hrs komentar jelek ttg agama lama? agar agama t.lihat bagus? insecure?",12/27/19 15:58,budi8765,"Maksud ....eee ...Agama buat marketing .... Walah.... kualat ... mengkho ....",12/28/19 19:20
Eattyl,Mau marah tapi gabisa ya yaudahlah ya,12/29/19 9:39,Damnyou_Ron,Ngewe sj,12/29/19 15:58
arandfird,"Terlalu sering dapat denial (bukan cintw doang) , jadi ga pede ama diri sendiri, berasa ga guna, berasa insecure. Beruntung buat yang punya muka ganteng atau cantik. You all so lucky guys",12/25/19 15:36,abugosokh,Hiihhhh... tabole gitu,12/20/19 17:27
_aadis,Bunyi Alarm hp kembali bergetar seolah-olah aku masih tidur padahal aku belum tidur dari semalam.,12/21/19 15:21,devinamiraa,ngapain ga tidur bang,12/21/19 15:52
kangsemproel,Kalau guwah mengasses akun yg mau dipolbek adalah cukup melihat keaktifan dia MENULIS...bukan cuma banyak me  RT. Nah... di kemudian hari seiring berjalannya waktu... akan kebuka juga mana yg layak dilanjut polbek nya mana yg wajib ampol karena melanggar S&K,12/13/19 15:42,___Bangjuna____,Seeeeppp. Met week end bareng keluarga kang ,12/13/19 15:44
mahyuz_,Tidur setelah matiin alarm adalah senikmat nikmatnya tidur,12/11/19 15:55,estr__,Hilih,12/8/19 16:43
yudiuup,"Sama2 menjadikan rakyat kecil sebagai guyonan. Satu di dunia politik, satu di dunia social media. Atur wak aturrrr.....",12/9/19 15:28,bagusadinugraha,1000,12/10/19 7:18
diFan711,Oh.. waktunya mulai lari lagi,12/7/19 13:35,martabak2telor,memulai hari dengan coli ,12/10/19 7:18
iimfahima,"Hahahha iya ini betul. Kebetulan aku ada sahabat2 yg posisinya top leaders d SA,  mrk crita, fenomena ini terjadi krn jenuh selama ini dicekoki agama yg sifatnya dogma.  Mrk heran orang kita yg memuja2 negaranya dan menjadikan rujukan,  wong mrk sendiri rujukannya bergeser ",12/5/19 14:51,irawansetiadi,Dalam islam itu bukan negara yg jadi rujukan. Tapi Al-quran dan Al-hadist.,12/5/19 17:10
bianconeristore,Selamat pagi yang lengser dari pucuk ...,12/1/19 14:22,melawat_,Woiwoiwoi,12/1/19 14:35
Kanseulir,"Ya Allah, matikanlah Permadi Arya dengan penuh kotoran dan kehinaan. Hamba mohon dengan sangat Ya Rabb. Mohon dengan sangat. Do'a awal tahun di hujan penuh berkah.",12/31/19 14:28,pipin165,Aamiin..beserta orang2 yg turut menghinaMu..menghina KekasihMu hinakan dan adzab segera ya Allah,12/28/19 16:01
tonoblk,Uang Negara 25 T biaya Pemilu....sungguh mengecewakan dengan hasil nya....!!!,12/27/19 15:26,gienugroho,Alhamdulillah saya gak milih Prabowo,12/27/19 16:06
fajarnugros,Dikasih otak buat mikir kok disia-siakan.. Alhasil hanya membuat malu.,12/29/19 9:33,udingendut1,"Kadang otak di ajak buat mikir ogah ogahan bang, mohon pencerahannya",12/29/19 9:34
didi_ng,Syafahallahu....smg Allah angkat penyakitnya dan iis sembuh seperti sedia kala....Aamiin...,12/25/19 15:13,amrullah_sk,Aamiin ya Mujibasailiin ,12/25/19 15:30
Eka4Liong,Mbak morgan umur piro seh? Gayane wis abg. Lek dede alex mah emang masih baby,12/21/19 15:05,AmbarwatiRexy,10 jalan 11,12/22/19 12:51
adindaamira5,Masih terjaga ,12/13/19 12:42,vindanofia,Samaan dongggg :)),12/13/19 12:42
ratu_zein,"Berfollower banyak untuk menyebar kebaikan dan kasih sayang, jadi insyaallah manfaat barokah, men Tweet sesuai kemampuan & kapabilitas diri aza, klo bukan ahlinya jangan maksain hehe Tweet ato RT yg baik2 semoga jadi sodaqoh,, banyak bertebaran akun2 besar yg bagus tuk difollow",12/11/19 15:27,ratu_zein,Kelak HP dan medsos akan dipertanggungjawabkan dihadapanNYA untuk kita manusia akhir zaman yg sulit lepas dari HP hehe,12/11/19 15:27
veriniciadiah,Kalo chinese mba gausah tanya emng ras nya udah beda,12/9/19 15:10,erythroxylumcoc,Gw cinis tp item Mba ,12/10/19 7:18
Ketjupbasah_,Tidur ditengah. Kanan kiri pasangan. Ga bisa tidur. Mikiran apaan tau dah,12/7/19 13:29,martabak2telor,xoli beb,12/10/19 7:18
SaikoDamai,"Yaa Allah Yaa Robbi.... berikanlah KAMI dan sehabat kami kesehatan, bagi yang sedang dirawat berikanlah kesembuhan Ya Allah, angkatlah penyakitnya agar bisa aktivitas kembali. Jauhkanlah & hindari KAMI dari bahaya, muluskan dan mudahkanlah langkah dan usaha KAMI, Aamiin Allahumma",12/1/19 14:14,EenEnik,Aamiin allahumma aamiin...Semoga selalu sehat wal afiat utk bapak @SaikoDamai  sekeluarga. Aamiin…,12/1/19 14:35
KCahyani12,Di awal tahun dikasih ujan semoga di tahun ini rejekinya deres seperti air hujan Aamiin :),12/31/19 15:44,autobotaja,Aamiin... Gegara itu kita banjir bby ,12/28/19 16:01
niasugatina,Padahal gak lagi mau study tour tapi gak bisa tidur donggg woi :(,12/27/19 12:13,_Heeyak,Mampos,12/27/19 12:16
naaazzzs,"Saranin aku onlineshop dong, yang jual case custome hardcase tp bahan nya yang premiummm makaciiii",12/29/19 9:16,dmzprtm_,"http://Regardee.id  di instagram kak coba, drdlu suka ngeliatin tp belom bisa beli ",12/29/19 9:18
SoundOfYogi,ngeselin lo ye wan?,12/25/19 15:01,penyejuk_hati_,"Lu ga penasaran, Bang?",12/25/19 15:38
geminimanja90,apa cuman gw ... generasi millenial yang g tau apa itu starwars dan bagaimana ceritanya dan belum pernah nonton satu film pun ttg starwars .... yg gw tau cuman pedang laser...  yang sama ama gw ngumpul disini please !!!!,12/21/19 11:59,33864,,12/22/19 12:51
orw7,Benar. Retur aja atau tukar tambah ,12/13/19 9:13,devvaze,"Retur aja dah, kayak gitu tuker tambah rugi ntar zonk lagi ",12/13/19 12:42
nunahanifah,Selamat Pagi dari aku yg blom tidur..  ,12/11/19 14:04,ArtaSidarta,selamat tiduurr,12/11/19 15:27
mandrafarandy,"Karena sekali km berbohong, kepercayaan itu akan hilang selamanya ",12/9/19 14:36,Elierensia,Gue boong Sama tmn gue tmn gue percaya Aja Sama gue :v,12/10/19 7:18
Ketjupbasah_,"""Aa bari dikenyot moal"" - Bocah Antasari",12/7/19 13:27,JatiDaun,"â€œMoaaaaalll, teu ngeunah kenyotan sia mah â€ù",12/10/19 7:18
Dsinathrya,MESSSSIIIIIIIIIIII!!!!! ,12/1/19 13:43,FadhliAlvin,Tinggal penerimaan baloon dâ€™or nya ,12/1/19 14:29
cim00leyi,mutualku gada yg mau kenalan apa? diem diem aja nih,12/31/19 11:42,muhamma76522475,fllbck,12/28/19 16:01
bintangnoru,Gampang kluar,12/27/19 9:38,defameifriza,,12/27/19 12:16
naaazzzs,Aku lupa umumin ini tunggu yaaa,12/29/19 9:14,Alveraamelia_,Iya aku tunggu selalu:(,12/29/19 9:15
ktxkicha,"10 Jomblo, 11 Jomblo juga. 12 masih jomblo. 13 masih jomblo juga. 14 masih tetep jomblo. 15 single. 16 still single. 17 accepting that iâ€™ll be single forever. 18 still alone. 19 not single anymore ",12/25/19 8:55,bulbaseinov,"Masih inget curhat ija, â€œiya der, aku udah ngerasa ya udah lah ya kalo emang jomblo selamanya, ya udah, toh siapa yg mau sama gueâ€ù Ijaaaa ",12/25/19 15:38
batavusqu,Selamat hari ibu buat para ibu dan calon ibu semoga hari ini para ibu dan calon ibu dimanjakan dan bahagia,12/21/19 15:16,PendarBintang,Makasih ,12/21/19 15:18
vindonk,"Whenever you wanna come back just let me know, bos expat bilang gitu pas hari terakhir kerja. Hampir 2 taun kemudian, ketemuan lagi reunian. Masih ngomong begitu beliau, terharu. Gue resign karena jadi pe en es btw ",12/13/19 6:50,ris_staydmn,"Expat bae2 emang. Biar kata suka marah2 dan ngejar bgt  tapi ya udah, ga dendam / nusuk dr belakang :(",12/13/19 12:42
katareshaa,"Tidur dengan perasaan ga tenang itu ga enak bgt, pules kaga puyeng iya :( dikit dikit kebangun yaela",12/11/19 12:19,snrnraatih,"Kadang gw bingung, kenapa persaan gw gundah gulana",12/11/19 15:27
Siamiiiiih_,"Gini ni kl perut menengah kebawah, abis minum starbucks lansung perutnya sakit banget, smp kebangun, biasa mimi janji jiwa sok2an starbucks ",12/9/19 12:35,Badman_uwu,"coffeshop ku tak seindah dengan starbuck mu , perut kampung gabisa di ajak minum minuman kota",12/10/19 7:18
peaaenjeii,"orang mah yak jam segini baru balik malam mingguan, nah gue baru selesai setrika ... tuhan ! ",12/7/19 12:10,rio_damar,Yaela bawa2 tuhan kaya artis mau nyaleg deh,12/10/19 7:18
Siamiiiiih_,"Ke kampus ah biar dikira mahasiswa baru. Smg ga ketemu junior yg kenal w, bekos sy malu kalo ditanya kapan sidang, kapan lulus ",12/1/19 15:52,yudisuper1,Ngecek nilai yang masih ada D nya ya,12/1/19 14:29
elwa,Hujannya tidak ada tanda-tanda mau berhenti; enaknya dusel memang.,12/31/19 11:43,yrmstk,:((,12/31/19 11:55
_nunuuuuu,"â€œApa goals mu 2020?â€ùDikasih sabar yang banyak Dikasih ikhlas yang luas dan bahagia dari sebuah ketulusan Terdengar simple, tapi percaya ini sulit banget :)",12/27/19 9:05,widiapurwanda,DIKASIH SABAR YANG LUASSS,12/27/19 14:18
cehpr,"Anw fact: nama Corbuzier adalah nama yang dicatut dari seorang arsitek Prancis keturunan Swiss ternama, Le Corbusier, yang sampai skrg diubah sedikit spellingnya oleh Deddy buat penghargaan doang... So.. Whatever it is.. Have fun.. Happy Holiday guys.",12/29/19 9:05,cehpr,"Mualaf2 ini lho ya kebiasaan amat ngucapin selamat Natal aja pake nambahin bumbu problematika segala, while all of us Christians be like  thanks but uhm no thanks.",12/29/19 12:03
FajarAlviaan,Ngomong naon,12/25/19 8:48,syabdaperkasa,Hampura aa kasep,12/25/19 15:38
dwiwisep,rasain deh masuk kerja jam5 terus dan berangkat dari rumah jam4 udah harus prepare setiap hari pulakkk,12/21/19 13:43,cupaaacup,Semangat wanitaku yang tangguh gak boleh ngeluh,12/21/19 19:21
assofyan90,"Dulu kalo main kostan temen yg bagus, hati bilang  : semoga bs kost dsni .."". Tp hati kecil bilang : "" ga usah mending beli aprt ajah"" Tp dompet bilang : ""halu  "". Lalu otak bilang : "" PASTI BISA""",12/13/19 5:31,Masandy071,"Bisa dong,,, kan skrg ada pacar,, bagi 2 aja tinggal hidup berdua",12/13/19 12:42
patriciaug43,"Seseorang yg menghina rupamu, berat  badanmu, caramu berpakaian dan caramu berpikir hanyalah orang yg kurang pintar yg tdk mengerti ttg konsep perbedaan. Jadi tetaplah jadi dirimu sendiri.",12/11/19 12:00,SusilawatiSisi2,Terus menginspirasi..energi lbh berharga.,12/11/19 15:27
ilhmsky,Kalean udah ada pikiran belom tahun baru tujuan mau kemana? Aku : puncak bogor. Sapa tau bisa ngetrip bareng,12/9/19 15:58,is_rachma,Yailah macet pak,12/10/19 7:18
Tyows,Lindeloff mulai lagi combroknya ,12/7/19 10:49,iBoengky,Dejan Lindeloff ,12/7/19 10:50
marethadd,Anak perawan jam segini baru pulang ret rett mau jadi apa kamuu heuheu,12/1/19 12:01,Alonew0lfy,"Sapa suruh perawan hah!? Eh, sapa suruh pulang jam segini hah!?",12/1/19 14:29
meidianatahir,Halo ternyata aku masih hidup,12/31/19 10:27,MasMasIdealis,Sama aku juga,12/31/19 10:29
razhauntunk13,"RIP Resleting celana ku ternyata dari tdi siang kerja tuh celana kebuka hufttt, Untung meja kasir sepinggang pas",12/27/19 9:00,vexlana,Semriwing,12/27/19 9:03
iwan_beake,"Gak kok, cuman ada bagian tertentu yg gede hehhe",,Tantemonik69,Hahaha apa nya hayooo,12/29/19 12:03
putcehhh,Mutualku pada kemana siy? Yang masih aktif cobaaa mau tau :(,12/25/19 8:35,milomekdii,Akuakuakuuuuuu,12/25/19 15:38
sabdaps,Yesssssa,12/21/19 11:39,selvaleriae,"bang makasi yak, gabisa tidur malem ini ditemenin zenius learning. dah lama bgt gapernah buka lagi semenjak hectic kls 12 wkwk. walopun makin gabisa tidur tapi tercerahkan. sekali lagi, makasihhhh:)",12/21/19 19:21
naaazzzs,Aku close di jam 22:00,12/13/19 5:19,naaazzzs,DM aku nomor kalian yaaaa,12/13/19 12:42
BudiatnoGomarus,"Korupsi adalah kejahatan yang sangat menyengsarakan rakyat banyak, oleh karena itu harus diberantas sampai habis. Korupsi hilang rakyat pun senang.",12/11/19 14:21,kachonk_0000,sekalian nitip tagar Om. #KoruptorsampahNEGARA,12/11/19 14:24
nouvalnopal,"Cerita masalah ke orang lain ga ngejamin bakal kelar, malah kadang bisa nambah ribet, jadi mending dipendem sendiri ,cerita seperlunya aja dan tetap mengeluh di social media~",12/9/19 15:55,panggilajaanto,"Makanya gw males kalo cerita ke org. Bukan dipendem sih, jadinya lebih ke self healing. Kita yg lebih paham..",12/10/19 7:18
umarprihadi,Bismillaahi majreha â€“ at Terminal 3,12/7/19 13:37,dhieKang,Wa mursaahaa,12/7/19 13:51
Uki23,Orang ini sedang tergetar mentalnya kalau dilihat dari bagaimana ia bicara.,12/1/19 11:11,duo_hh,Muka nya sengak banget. Tapi biasa karena buat nutupin nyalinya yg kecil. Bener istilah tong kosong bunyi nyaring,12/1/19 14:48
fermendkis,Apa yang menyebalkan dari hujan? Mau grebfud tapi kasihan abangnya kehujanan.,12/31/19 9:51,Sinta_dfk,Mendingan abangnya dijemput,12/31/19 10:29
tiwiitj,"aku pernah kehilangan kucing ku , trs aku ketemu kucing2 di luar aku bilang 'tolong liko suruh pulang dong,aku kgn'besok paginya kucing ku tb tb tidur an dpn pintu",12/27/19 9:00,ilaans1,"Bener kan mba  .Mutualan dulu dong",12/27/19 9:00
chicohakim,"Kalau â€˜rapihâ€™, memang iya. Kalau â€˜putihâ€™ kayaknya itu efek kamera/Cahaya deh.. soalnya perokok & pminum kopi seperti gue ngga bakal putih2 amat giginya ",12/29/19 7:33,AmbarwatiRexy,Dibandingin punya mas Tukul masih putihan gigimu. (Jangan bilang mas Tukul aku bilang gitu ya).,12/29/19 8:20
naaazzzs,terakhir charger kemarin pagi jam 9,12/25/19 8:31,nuvuyyy,3,12/25/19 8:32
Robyarto,Lagi ngebut mata kejatohan aer. Mantab!,12/21/19 11:27,deesilaisila,Ahahha,12/21/19 14:38
ayyput_,"â € Punya pacar cantik/ganteng bukan jaminan kebahagiaan,apalagi yang Jelek.",12/13/19 4:51,Julianmj_,,12/13/19 12:42
PaassM,"Udaranya mantap ,,Jakarta selatan mantap angin malam.nya",12/11/19 8:26,aufal98561609,,12/11/19 11:12
Ekocahyono_,"Hei ica, punya hubungan lama terus kandas itu emang pasti sulit ga akan mudah, kita sama, aku juga 8 tahun berhubungan terus udahan tahun lalu. Meski tersrok-seok aku bisa bertahan sampe sekarang, dan kamu juga pasti bisa juga, semangaattt.",12/9/19 15:12,akuicahehe,YOK BANGKIT YOK,12/10/19 7:18
RizkySH25,Hilih khintil. Hilih khintil. Hilih khintil. Hilih khintil. Hilih khintil. Ja ja ja.....,12/7/19 11:18,Indridyt,Abanggg main yukk,12/7/19 13:51
_aadis,Kenapa sukses itu ukuran harta? Karena kalo beli mobil gak bisa bayar pake pahala,12/1/19 9:07,Ainurridho_,Invalid,12/1/19 14:48
TimMarbun,"Kenapa Amerika disebut negara maju?? Padahal Indonesia aja udah tahun 2020, Amerika masih di 2019.",12/31/19 9:45,sauki__,Karena pasukanya banyak.,12/31/19 11:01
Iqbalkuntoro1,Ada nya bale,12/27/19 8:37,Oyan882Royani,Amben ae,12/27/19 9:00
purreeell,Disini yg chaser siapa,12/29/19 7:07,kenthangoren,Aku (kayaknya),12/29/19 8:20
naaazzzs,tebak batre yuk! aku end kalo udah ada yg bener...,12/25/19 8:27,naaazzzs,terakhir charger kemarin pagi jam 9,12/25/19 8:31
sabdaps,"Assuming orang kyk gini sebarannya rata & rating is a competitive game yg bukan absolute valuenya yg penting. So, selama asumsi distribusinya terpenuhin ya semua akan rugi scr merata, jadi bisa jadi ga masalah and tetep adil walaupun ngeselin hehe.",12/21/19 11:23,Cittairlanie,"Ah ya, true ! btw, itu rugi/untung secara merata yaa, karena persepsi skor rating itu rugi/untung kan juga relatif terhadap capaian dari all players involved hehe.",12/21/19 14:38
cehpr,"Gausah bacot asu2 soal sertifikasi halal MUI, kalau wapres lu Ketua MUI, what do u expect, peasants.",12/13/19 4:18,novalianaaja,"sabar kak, sabar",12/13/19 12:42
JoPermadi,Andai jkt cm sebatas sudirman thamrin ,12/11/19 7:57,dikasman_73,Sama pak andai Indonesia cuma sebatas Jawa dan Bali... ,12/11/19 11:12
PayLaterr,"Keinget dulu, ekonomi keluarga lagi susah banget sampe - sampe gw makan nasi sama Garem doang ",12/9/19 11:38,abdul_cis,Sekarang?,12/9/19 14:25
Tyows,GAK KUAAAT JANTUNG AWAK INI BANG! BARU 9 MENIT UDAH TINGGI TEMPONYA ,12/7/19 9:40,donnykusmadi,Kaya main fifa bang,12/7/19 9:59
cehpr,"Besok bisa ngantor gak ya, ada reuni akbar yang difasilitasi kan. Hadeeeh.",12/1/19 9:01,nimasdisri,Ini yg gue pikirin dr kmrn kak. Mana gue turun stasiun yg jd pusat mobilisasi mereka lagi ,12/1/19 14:48
pardedereza,"Berarti Tahun ini, yang lahir tahun 2000. Umur nya 20 tahun ya ? Haaaaaaaaa........ Saya sudah tua sekali ",12/31/19 9:42,adthnw,"Tp tp, yg kelahiran 29februari masih umur 5 tahun bwang :(",12/31/19 9:49
Mindra_AZ,Waktu kuliah berarti dia pinter bngt ya,12/27/19 7:05,Putra_Sangihe,,12/27/19 7:08
Tyows,Haland ke Dortmund.. Manchester United beli Ashley Barnes aje udah. Kemarin Ole terlihat ngobrol panjang sama doi abis game di lapangan ,12/29/19 6:47,abunsamsul,Fans emyu ama pemain sekelas Haland aje udh ngiler.. padahalaen otot doang tuh bocah.,12/29/19 6:54
nabilanabilan2,"Cepat atau lambat kau akan tahu kelakuan temanmu, bahkan kadang kau hanya akan mampu berujar dan menuruti ke inginannya, dan kau tak perlu menyesal, karena di pertemukan dengan teman yang salah. Karena ada dua dalam hal itu, 1. Mengubah kemungkinan, 2. Sabar dengan keadaan.",12/25/19 7:46,AldoMSN91,Berubah haluan. Atau bertahan dgn tekanan,12/25/19 8:31
Fazureee,"everything happens for a reason. orang yg dulunya selalu ada buat kita, yg dulunya nemenin, mau ngedengerin keluh kesah cerita kita. suatu saat pasti akan pergi. jg, entah dgn jalannya sendiri atau hal lainnya. Orang yang dateng dan pergi, punya perannya masing2 di hidup kita.",12/21/19 10:36,Fazureee,ikhlas kehilangan org yg berarti dlm hidup kita emang susah. Susah bgt. But you must remember one thing. 'Kamu bisa tenang naik pesawat tanpa kenal sm pilotnya. Lalu kenapa harus resah menjalani hidup padahal tahu Tuhan yg  mengatur segalanya'.,12/21/19 14:38
nabilanabilan2,"Punya hati itu jangan kayak gantungan baju, udah di jemur di gantung pula. Cuma di buat panas dingin… Urusan hati bisa pindah bukan?",12/13/19 4:02,dy6_xa,Bukan,12/13/19 12:42
Haidar_Bagir,"Ada yg kelupaan, Islam Tuhan, Islam Manusia juga bisa dibaca kapan saja, karena itu tulisan2 yg relatif populer ttg berbagai oersoalan keagamaan...",12/11/19 6:49,anndyriyan,"Kalau saya, memulai buku-buku bapak dari Islam Tuhan Islam Manusia, kemudian melompat Semesta cinta, baru dari Allah Menuju Allah dan Belajar hidup dari Rumi.",12/11/19 11:12
